,id,booklet,titlepage
858,77829,BOOKLETB,3
859,80287,BOOKLETB,3
860,71542,BOOKLETB,3
861,78819,BOOKLETB,3
862,74951,BOOKLETB,3
863,79047,BOOKLETB,3
864,76543,BOOKLETB,3
865,74369,BOOKLETB,3
866,80188,BOOKLETB,3
867,79277,BOOKLETB,3
868,74804,BOOKLETB,3
869,67808,BOOKLETB,3
870,78888,BOOKLETB,3
871,NONAME,BOOKLETB,3
872,63869,BOOKLETB,3
873,79207,BOOKLETB,3
874,9654,BOOKLETB,3
875,7218,BOOKLETB,3
876,2771,BOOKLETB,3
877,2416,BOOKLETB,3
878,3939,BOOKLETB,3
879,6128,BOOKLETB,3
880,RD-NP-11611,BOOKLETB,3
881,8724,BOOKLETB,3
882,8246,BOOKLETB,3
883,1601,BOOKLETB,3
884,5879,BOOKLETB,3
885,7261,BOOKLETB,3
886,71866,BOOKLETA,3
887,43733,BOOKLETA,3
888,68639,BOOKLETA,3
889,78383,BOOKLETA,3
890,71614,BOOKLETA,3
891,70668,BOOKLETA,3
